Column	Change to
2 or More Races	school_multiracial
American Indian/Alaskan Native	school_american_indian_native_alaskan
Annual Progess Percent Industry-Based Learning (Economically Disadvantaged)	ignore
Annual Progress Growth Science/Biology (2 or More Races)	ignore
Annual Progress Growth Science/Biology (All Student)	ignore
Annual Progress Growth Science/Biology (American Indian/Alaska Native)	ignore
Annual Progress Growth Science/Biology (Asian)	ignore
Annual Progress Growth Science/Biology (Black)	ignore
Annual Progress Growth Science/Biology (Economically Disadvantaged)	ignore
Annual Progress Growth Science/Biology (English Learner)	ignore
Annual Progress Growth Science/Biology (Hawaiian/Pacific Islander)	ignore
Annual Progress Growth Science/Biology (Hispanic)	ignore
Annual Progress Growth Science/Biology (Students with Disabilities)	ignore
Annual Progress Growth Science/Biology (White)	ignore
Annual Progress Meeting Annual Academic Growth Expectations (PVAAS) Science/Biology (Combined Ethnicity)	ignore
Annual Progress Percent Industry-Based Learning (2 or More Races)	ignore
Annual Progress Percent Industry-Based Learning (2 or MoreRaces)	ignore
Annual Progress Percent Industry-Based Learning (All Student)	ignore
Annual Progress Percent Industry-Based Learning (American Indian Alaska Native)	ignore
Annual Progress Percent Industry-Based Learning (American Indian/Alaska Native)	ignore
Annual Progress Percent Industry-Based Learning (Asian)	ignore
Annual Progress Percent Industry-Based Learning (Black)	ignore
Annual Progress Percent Industry-Based Learning (Economically Disadvantaged)	ignore
Annual Progress Percent Industry-Based Learning (English Learner)	ignore
Annual Progress Percent Industry-Based Learning (Hawaiian Pacific Islander)	ignore
Annual Progress Percent Industry-Based Learning (Hawaiian/Pacific Islander)	ignore
Annual Progress Percent Industry-Based Learning (Hispanic)	ignore
Annual Progress Percent Industry-Based Learning (Students with Disabilities)	ignore
Annual Progress Percent Industry-Based Learning (White)	ignore
Annual Progress Percent Proficient or Advanced on Science/Biology (All Student)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (2 or More Races)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (All Student)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (American Indian/Alaska Native)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (Asian)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (Black)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (Economically Disadvantaged)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (English Learner)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (Hawaiian/Pacific Islander)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (Hispanic)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (Students with Disabilities)	ignore
Annual Progress Percent Proficient or Advanced Science/Biology (White)	ignore
Asian	school_asian
Black/African American	school_black
Career and Technical Programs	ignore
Economically Disadvantaged	school_poor
English Language Growth and Attainment (All Student)	english_growth_and_attainment_all
English Learner	school_english_learner
ESSA Goal Annual Progress Growth (PVAAS) ELA/Literature (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Growth (PVAAS) Mathematics/Algebra 1 (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (2 or More Races)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (All Student)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (Asian)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (Black)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (English Learner)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (Hispanic)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (Students with Disabilities)	ignore
ESSA Goal Annual Progress Growth ELA/Literature (White)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (2 or More Races)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (All Student)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (Asian)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (Black)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (English Learner)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (Hispanic)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (Students with Disabilities)	ignore
ESSA Goal Annual Progress Growth Mathematics/Algebra 1 (White)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (2 or More Races)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (All Student)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (Asian)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (Black)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (English Learner)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (Hispanic)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent Career Standards Benchmark (White)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (2 or More Races)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (All Student)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (Asian)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (Black)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (English Learner)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (Hispanic)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent English Language Growth and Attainment (White)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (2 or More Races)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (All Student)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Asian)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Black)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (English Learner)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Hispanic)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent English Language Proficiency (White)	ignore
ESSA Goal Annual Progress Percent Grade 5, Grade 8, and/or Grade 11 Career Standards Benchmark (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (2 or More Races)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (All Students)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Asian)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Black)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (English Learner)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Hispanic)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent Graduation 4 -Year Cohort (White)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (2 or More Races)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (All Student)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (Asian)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (Black)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (English Learner)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (Hispanic)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced ELA/Literature (White)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (2 or More Races)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (All Student)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (Asian)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (Black)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (English Learner)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (Hispanic)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced Mathematics/Algebra 1 (White)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced on ELA/Literature (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Percent Proficient or Advanced on Mathematics/Algebra 1 (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (2 or More Races)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (All Student)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (American Indian/Alaska Native)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Asian)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Black)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Combined Ethnicity)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Economically Disadvantaged)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Hawaiian/Pacific Islander)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Hispanic)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (Students with Disabilities)	ignore
ESSA Goal Annual Progress Percent Regular Attendance (White)	ignore
ESSA Goal Annual Progress Percent Regular Attendance(English Learner)	ignore
ESSA Goal Percent Career Standards Benchmark (All Student)	essa_goal_career_benchmark_all
ESSA Goal Percent English Language Proficiency (All Student)	essa_goal_english_proficiency_all
