value	change to
Elementary, Primary Grades 1-3	elementary
Elementary, Intermediate Grades 4-6	elementary
Special Ed, Resource PreK-12	learning_support
Elementary, Primary Grades 1-3 1/	elementary
Elementary, Intermediate Grades 4-6 1/	elementary
Special Ed, Elementary Subjects, PreK-6	learning_support
Kindergarten, age 5 (K5)	kindergarten
Mathematics, 10-12	math
English/Communication, 10-12	english
Other Not Listed Above (certificated personnel)	other
Middle Level English, 7-9	english
Middle Level Mathematics, 7-9	math
Music, Elementary, PreK-6	music
Health and Physical Education, Elementary, PreK-6	health
Social Studies, 10-12	history
Health and Physical Education, Secondary, 7-12	health
Middle Level Social Studies, 7-9	history
Middle Level Science, 7-9	science
Secondary School Counselor	counselor
Music, Secondary, 7-12	music
School Nurse	nurse
Speech Correction, Elementary, PreK-6	speech
Art, Elementary (PreK-6)	art
Biology	science
Spanish, 7-12	foreign_language
Other Not Listed Above (non-certificated personnel)	other
Elementary School Counselor	counselor
School Psychologist	counselor
Art, Secondary (7-12)	art
Diagnostic/Prescriptive Reading, Elementary, PreK-6	english
Elementary Principal	principal
Library Sciences, Elementary, PreK-6	librarian
Chemistry	science
Special Ed, Middle Level English, 7-9	learning_support
Gifted Classes, Elementary. PreK-6	gifted
Business Education, Secondary	business
Assistant or Vice Secondary Principal	principal
Special Ed, Secondary English, 10-12	learning_support
Developmental Reading, Elementary Classes, PreK-6	elementary
Family/Consumer Sciences, Secondary, 7-12	home_ec
Special Ed, Middle Level Math, 7-9	learning_support
English as Second Language, Elementary, PreK-6	esl
Physics, 10-12	science
Secondary Principal	principal
Supervisor, Special Education	supervisor
History, 10-12	history
Speech Correction, Secondary, 7-12	speech
Gifted Classes, Tutorial/Resource, Secondary, 7-12	gifted
Instructional Support Teachers	learning_support
Technology Education, Secondary, 7-12	technology
Library Sciences, Secondary, 7-12	librarian
Special Ed, Secondary Math, 10-12	learning_support
English as Second Language, K-12 Resource (Take student out for language support)	esl
Industrial Arts/Technology Education	technology
French, 6-12	foreign_language
Computer Science, Elementary, PreK-6	technology
Developmental Reading, Secondary Classes, 7-12	learning_support
Physical Education	health
Computer Science, Secondary, 7-12	technology
General Science, Intermediate, 10-12	science
Assistant or Vice Elementary Principal	principal
Pre Kindergarten (PreK)	pre_k
Business Manager	manager
School Social Worker	counselor
Special Ed, Secondary Social Studies, 10-12	learning_support
Speech	speech
