value,change to
Secondary Teacher,secondary
Elementary Teacher,elementary
Supervisor / Coordinator,supervisor
School Administrator,administrator
Guidance,counselor
Other,other
Health / Welfare,health
Elementary Special Ed. Teacher,learning_support
Specialist,specialist
Operations,operations
Ungraded Special Ed. Teacher,learning_support
Secondary Special Ed. Teacher,learning_support
Ungraded Teacher,ungraded_teacher
LEA Administrator,administrator
Chief School Administrator,administrator
None Provided,none
LEA Administrators,administrator
